Aero                               #7CB9E8            124        185        232
Aero blue                          #C9FFE5            201        255        229
African violet                     #B284BE            178        132        190
Air Force blue (RAF)               #5D8AA8             93        138        168
Air Force blue (USAF)              #00308F              0         48        143
Air superiority blue               #72A0C1            114        160        193
Alabama Crimson                    #A32638            163         38         56
Alice blue                         #F0F8FF            240        248        255
Alizarin crimson                   #E32636            227         38         54
Alloy orange                       #C46210            196         98         16
Almond                             #EFDECD            239        222        205
Amaranth                           #E52B50            229         43         80
Amazon                             #3B7A57             59        122         87
Amber                              #FFBF00            255        191          0
SAE/ECE Amber (color)              #FF7E00            255        126          0
American rose                      #FF033E            255          3         62
Amethyst                           #9966CC            153        102        204
Android green                      #A4C639            164        198         57
Anti-flash white                   #F2F3F4            242        243        244
Antique brass                      #CD9575            205        149        117
Antique bronze                     #665D1E            102         93         30
Antique fuchsia                    #915C83            145         92        131
Antique ruby                       #841B2D            132         27         45
Antique white                      #FAEBD7            250        235        215
Ao (English)                       #008000              0        128          0
Apple green                        #8DB600            141        182          0
Apricot                            #FBCEB1            251        206        177
Aqua                               #00FFFF              0        255        255
Aquamarine                         #7FFFD4            127        255        212
Army green                         #4B5320             75         83         32
Arsenic                            #3B444B             59         68         75
Arylide yellow                     #E9D66B            233        214        107
Ash grey                           #B2BEB5            178        190        181
Asparagus                          #87A96B            135        169        107
Atomic tangerine                   #FF9966            255        153        102
Auburn                             #A52A2A            165         42         42
Aureolin                           #FDEE00            253        238          0
AuroMetalSaurus                    #6E7F80            110        127        128
Avocado                            #568203             86        130          3
Azure                              #007FFF              0        127        255
Azure mist/web                     #F0FFFF            240        255        255
Baby blue                          #89CFF0            137        207        240
Baby blue eyes                     #A1CAF1            161        202        241
Baby pink                          #F4C2C2            244        194        194
Baby powder                        #FEFEFA            254        254        250
Baker-Miller pink                  #FF91AF            255        145        175
Ball blue                          #21ABCD             33        171        205
Banana Mania                       #FAE7B5            250        231        181
Banana yellow                      #FFE135            255        225         53
Barbie pink                        #E0218A            224         33        138
Barn red                           #7C0A02            124         10          2
Battleship grey                    #848482            132        132        130
Bazaar                             #98777B            152        119        123
Beau blue                          #BCD4E6            188        212        230
Beaver                             #9F8170            159        129        112
Beige                              #F5F5DC            245        245        220
B'dazzled Blue                     #2E5894             46         88        148
Big dip o'ruby                     #9C2542            156         37         66
Bisque                             #FFE4C4            255        228        196
Bistre                             #3D2B1F             61         43         31
Bistre brown                       #967117            150        113         23
Bitter lemon                       #CAE00D            202        224         13
Bitter lime                        #BFFF00            191        255          0
Bittersweet                        #FE6F5E            254        111         94
Bittersweet shimmer                #BF4F51            191         79         81
Black                              #000000              0          0          0
Black bean                         #3D0C02             61         12          2
Black leather jacket               #253529             37         53         41
Black olive                        #3B3C36             59         60         54
Blanched almond                    #FFEBCD            255        235        205
Blast-off bronze                   #A57164            165        113        100
Bleu de France                     #318CE7             49        140        231
Blizzard Blue                      #ACE5EE            172        229        238
Blond                              #FAF0BE            250        240        190
Blue                               #0000FF              0          0        255
Blue (Crayola)                     #1F75FE             31        117        254
Blue (Munsell)                     #0093AF              0        147        175
Blue (NCS)                         #0087BD              0        135        189
Blue (pigment)                     #333399             51         51        153
Blue (RYB)                         #0247FE              2         71        254
Blue Bell                          #A2A2D0            162        162        208
Blue-gray                          #6699CC            102        153        204
Blue-green                         #0D98BA             13        152        186
Blue sapphire                      #126180             18         97        128
Blue-violet                        #8A2BE2            138         43        226
Blueberry                          #4F86F7             79        134        247
Bluebonnet                         #1C1CF0             28         28        240
Blush                              #DE5D83            222         93        131
Bole                               #79443B            121         68         59
Bondi blue                         #0095B6              0        149        182
Bone                               #E3DAC9            227        218        201
Boston University Red              #CC0000            204          0          0
Bottle green                       #006A4E              0        106         78
Boysenberry                        #873260            135         50         96
Brandeis blue                      #0070FF              0        112        255
Brass                              #B5A642            181        166         66
Brick red                          #CB4154            203         65         84
Bright cerulean                    #1DACD6             29        172        214
Bright green                       #66FF00            102        255          0
Bright lavender                    #BF94E4            191        148        228
Bright maroon                      #C32148            195         33         72
Bright pink                        #FF007F            255          0        127
Bright turquoise                   #08E8DE              8        232        222
Bright ube                         #D19FE8            209        159        232
Brilliant lavender                 #F4BBFF            244        187        255
Brilliant rose                     #FF55A3            255         85        163
Brink pink                         #FB607F            251         96        127
British racing green               #004225              0         66         37
Bronze                             #CD7F32            205        127         50
Bronze Yellow                      #737000            115        112          0
Brown (traditional)                #964B00            150         75          0
Brown (web)                        #A52A2A            165         42         42
Brown-nose                         #6B4423            107         68         35
Brunswick green                    #1B4D3E             27         77         62
Bubble gum                         #FFC1CC            255        193        204
Bubbles                            #E7FEFF            231        254        255
Buff                               #F0DC82            240        220        130
Bulgarian rose                     #480607             72          6          7
Burgundy                           #800020            128          0         32
Burlywood                          #DEB887            222        184        135
Burnt orange                       #CC5500            204         85          0
Burnt sienna                       #E97451            233        116         81
Burnt umber                        #8A3324            138         51         36
Byzantine                          #BD33A4            189         51        164
Byzantium                          #702963            112         41         99
Cadet                              #536872             83        104        114
Cadet blue                         #5F9EA0             95        158        160
Cadet grey                         #91A3B0            145        163        176
Cadmium green                      #006B3C              0        107         60
Cadmium orange                     #ED872D            237        135         45
Cadmium red                        #E30022            227          0         34
Cadmium yellow                     #FFF600            255        246          0
Café au lait                       #A67B5B            166        123         91
Café noir                          #4B3621             75         54         33
Cal Poly green                     #1E4D2B             30         77         43
Cambridge Blue                     #A3C1AD            163        193        173
Camel                              #C19A6B            193        154        107
Cameo pink                         #EFBBCC            239        187        204
Camouflage green                   #78866B            120        134        107
Canary yellow                      #FFEF00            255        239          0
Candy apple red                    #FF0800            255          8          0
Candy pink                         #E4717A            228        113        122
Capri                              #00BFFF              0        191        255
Caput mortuum                      #592720             89         39         32
Cardinal                           #C41E3A            196         30         58
Caribbean green                    #00CC99              0        204        153
Carmine                            #960018            150          0         24
Carmine (M&P)                      #D70040            215          0         64
Carmine pink                       #EB4C42            235         76         66
Carmine red                        #FF0038            255          0         56
Carnation pink                     #FFA6C9            255        166        201
Carnelian                          #B31B1B            179         27         27
Carolina blue                      #99BADD            153        186        221
Carrot orange                      #ED9121            237        145         33
Castleton green                    #00563F              0         86         63
Catalina blue                      #062A78              6         42        120
Catawba                            #703642            112         54         66
Cedar Chest                        #C95A49            201         90         73
Ceil                               #92A1CF            146        161        207
Celadon                            #ACE1AF            172        225        175
Celadon blue                       #007BA7              0        123        167
Celadon green                      #2F847C             47        132        124
Celeste (colour)                   #B2FFFF            178        255        255
Celestial blue                     #4997D0             73        151        208
Cerise                             #DE3163            222         49         99
Cerise pink                        #EC3B83            236         59        131
Cerulean                           #007BA7              0        123        167
Cerulean blue                      #2A52BE             42         82        190
Cerulean frost                     #6D9BC3            109        155        195
CG Blue                            #007AA5              0        122        165
CG Red                             #E03C31            224         60         49
Chamoisee                          #A0785A            160        120         90
Champagne                          #F7E7CE            247        231        206
Charcoal                           #36454F             54         69         79
Charleston green                   #232B2B             35         43         43
Charm pink                         #E68FAC            230        143        172
Chartreuse (traditional)           #DFFF00            223        255          0
Chartreuse (web)                   #7FFF00            127        255          0
Cherry                             #DE3163            222         49         99
Cherry blossom pink                #FFB7C5            255        183        197
