steelblue 4682B4 70 130 180 6
royalblue 41690 4 22 144 5
cornflowerblue 6495ED 100 149 237 6
lightsteelblue B0C4DE 176 196 222 6
mediumslateblue 7B68EE 123 104 238 6
slateblue 6A5ACD 106 90 205 6
darkslateblue 483D8B 72 61 139 6
midnightblue 191970 25 25 112 6
navy 80 0 0 128 2
darkblue 00008B 0 0 139 6
mediumblue 0000CD 0 0 205 6
blue 0000FF 0 0 255 6
dodgerblue 1E90FF 30 144 255 6
deepskyblue 00BFFF 0 191 255 6
lightskyblue 87CEFA 135 206 250 6
skyblue 87CEEB 135 206 235 6
lightblue ADD8E6 173 216 230 6
powderblue B0E0E6 176 224 230 6
azure F0FFFF 240 255 255 6
lightcyan E0FFFF 224 255 255 6
paleturquoise AFEEEE 175 238 238 6
mediumturquoise 48D1CC 72 209 204 6
lightseagreen 20B2AA 32 178 170 6
darkcyan 008B8B 0 139 139 6
teal 8080 0 128 128 4
cadetblue 5F9EA0 95 158 160 6
darkturquoise 00CED1 0 206 209 6
aqua 00FFFF 0 255 255 6
cyan 00FFFF 0 255 255 6
turquoise 40E0D0 64 224 208 6
aquamarine 7FFFD4 127 255 212 6
mediumaquamarine 66CDAA 102 205 170 6
darkseagreen 8FBC8F 143 188 143 6
mediumseagreen 3CB371 60 179 113 6
seagreen 2E8B57 46 139 87 6
darkgreen 6400 0 100 0 4
green 8000 0 128 0 4
forestgreen 228B22 34 139 34 6
limegreen 32CD32 50 205 50 6
lime 00FF00 0 255 0 6
chartreuse 7FFF00 127 255 0 6
lawngreen 7CFC00 124 252 0 6
greenyellow ADFF2F 173 255 47 6
yellowgreen 9ACD32 154 205 50 6
palegreen 98FB98 152 251 152 6
lightgreen 90EE90 144 238 144 6
springgreen 00FF7F 0 255 127 6
mediumspringgreen 00FA9A 0 250 154 6
darkolivegreen 556B2F 85 107 47 6
olivedrab 6B8E23 107 142 35 6
olive 808000 128 128 0 6
darkkhaki BDB76B 189 183 107 6
darkgoldenrod B8860B 184 134 11 6
goldenrod DAA520 218 165 32 6
gold FFD700 255 215 0 6
yellow FFFF00 255 255 0 6
khaki F0E68C 240 230 140 6
palegoldenrod EEE8AA 238 232 170 6
blanchedalmond FFEBCD 255 235 205 6
moccasin FFE4B5 255 228 181 6
wheat F5DEB3 245 222 179 6
navajowhite FFDEAD 255 222 173 6
burlywood DEB887 222 184 135 6
tan D2B48C 210 180 140 6
rosybrown BC8F8F 188 143 143 6
sienna A0522D 160 82 45 6
saddlebrown 8B4513 139 69 19 6
chocolate D2691E 210 105 30 6
peru CD853F 205 133 63 6
sandybrown F4A460 244 164 96 6
darkred 8B0000 139 0 0 6
maroon 800000 128 0 0 6
brown A52A2A 165 42 42 6
firebrick B22222 178 34 34 6
indianred CD5C5C 205 92 92 6
lightcoral F08080 240 128 128 6
salmon FA8072 250 128 114 6
darksalmon E9967A 233 150 122 6
lightsalmon FFA07A 255 160 122 6
coral FF7F50 255 127 80 6
tomato FF6347 255 99 71 6
darkorange FF8C00 255 140 0 6
orange FFA500 255 165 0 6
orangered FF4500 255 69 0 6
crimson DC143C 220 20 60 6
red FF0000 255 0 0 6
deeppink FF1493 255 20 147 6
fuchsia FF00FF 255 0 255 6
magenta FF00FF 255 0 255 6
hotpink FF69B4 255 105 180 6
lightpink FFB6C1 255 182 193 6
pink FFC0CB 255 192 203 6
palevioletred DB7093 219 112 147 6
mediumvioletred C71585 199 21 133 6
purple 800080 128 0 128 6
darkmagenta 8B008B 139 0 139 6
mediumpurple 9370DB 147 112 219 6
blueviolet 8A2BE2 138 43 226 6
indigo 4B0082 75 0 130 6
darkviolet 9400D3 148 0 211 6
darkorchid 9932CC 153 50 204 6
mediumorchid BA55D3 186 85 211 6
orchid DA70D6 218 112 214 6
violet EE82EE 238 130 238 6
plum DDA0DD 221 160 221 6
thistle D8BFD8 216 191 216 6
lavender E6E6FA 230 230 250 6
ghostwhite F8F8FF 248 248 255 6
aliceblue F0F8FF 240 248 255 6
mintcream F5FFFA 245 255 250 6
honeydew F0FFF0 240 255 240 6
lightgoldenrodyellow FAFAD2 250 250 210 6
lemonchiffon FFFACD 255 250 205 6
cornsilk FFF8DC 255 248 220 6
lightyellow FFFFE0 255 255 224 6
ivory FFFFF0 255 255 240 6
floralwhite FFFAF0 255 250 240 6
linen FAF0E6 250 240 230 6
oldlace FDF5E6 253 245 230 6
antiquewhite FAEBD7 250 235 215 6
bisque FFE4C4 255 228 196 6
peachpuff FFDAB9 255 218 185 6
papayawhip FFEFD5 255 239 213 6
beige F5F5DC 245 245 220 6
seashell FFF5EE 255 245 238 6
lavenderblush FFF0F5 255 240 245 6
mistyrose FFE4E1 255 228 225 6
snow FFFAFA 255 250 250 6
white FFFFFF 255 255 255 6
whitesmoke F5F5F5 245 245 245 6
gainsboro DCDCDC 220 220 220 6
lightgrey D3D3D3 211 211 211 6
silver C0C0C0 192 192 192 6
darkgray A9A9A9 169 169 169 6
gray 808080 128 128 128 6
lightslategray 778899 119 136 153 6
slategray 708090 112 128 144 6
dimgray 696969 105 105 105 6
darkslategray 2F4F4F 47 79 79 6
black 0 0 0 0 1
